,highest_offense_description,year,count
3744,MANSLAUGHTER,2016,1
3745,MISAPPLY FIDUCIARY PROP,2016,8
3746,MISUSE OF OFFICIAL INFO,2016,1
3747,MONEY LAUNDERING,2016,3
3748,MURDER,2016,10
3749,NUISANCE ABATEMENT,2016,12
3750,OBSCENE DISPLAY - DISTRIBUTION,2016,2
3751,OBTAIN CONTROLLED SUB BY FRAUD,2016,8
3752,OFFICIAL OPPRESSION,2016,1
3753,ONLINE IMPERSONATION,2016,38
3754,ONLINE SOLICITATION OF A MINOR,2016,12
3755,PAROLE VIOL,2016,16
3756,PIGEON DROP,2016,4
3757,POSS CONTROLLED SUB/NARCOTIC,2016,788
3758,POSS CONTROLLED SUB/OTHER,2016,50
3759,POSS CONTROLLED SUB/SYN NARC,2016,53
3760,POSS CRIMINAL INSTRUMENT,2016,3
3761,POSS DANG DRUG,2016,12
3762,POSS OF ALCOHOL - AGE 17 TO 20,2016,21
3763,POSS OF ALCOHOL-AGE 16 & UNDER,2016,1
3764,POSS OF DRUG PARAPHERNALIA,2016,383
3765,POSS OF FIREARM BY FELON,2016,42
3766,POSS OF PROHIBITED WEAPON,2016,21
3767,POSS SYNTHETIC MARIJUANA,2016,103
3768,POSS/PROMO CHILD PORNOGRAPHY,2016,39
3769,POSSESSION OF FORGED WRITING,2016,1
3770,POSSESSION OF MARIJUANA,2016,956
3771,PROBATION VIOL,2016,6
3772,PROMOTION OF PROSTITUTION,2016,6
3773,PROSTITUTION,2016,70
3774,PROTECTIVE ORDER,2016,298
3775,PROWLER,2016,11
3776,PUBLIC INTOXICATION,2016,767
3777,PUBLIC LEWDNESS,2016,18
3778,PURSE SNATCHING,2016,1
3779,RAPE,2016,188
3780,RAPE OF A CHILD,2016,78
3781,RECKLESS CONDUCT,2016,1
3782,RECKLESS DAMAGE,2016,29
3783,RENTAL CAR/FAIL TO RETURN,2016,12
3784,RESISTING ARREST OR SEARCH,2016,48
3785,RETALIATION,2016,15
3786,ROBBERY BY ASSAULT,2016,131
3787,ROBBERY BY THREAT,2016,29
3788,RUNAWAY CHILD,2016,1014
3789,SERIOUS INJURY TO A CHILD,2016,1
3790,SEXTING DEPICTING A MINOR,2016,10
3791,SEXUAL ASSAULT OF CHILD/OBJECT,2016,62
3792,SEXUAL ASSAULT W/ OBJECT,2016,80
3793,SMUGGLING ILLEGAL ALIEN,2016,5
3794,SOLICITATION - BEGGING,2016,38
3795,STALKING,2016,50
3796,STATUTORY RAPE OF CHILD,2016,5
3797,SUSPICIOUS PERSON,2016,455
3798,TAKE WEAPON FRM POLICE OFFICER,2016,4
3799,TAMPERING WITH CONSUMER PROD,2016,1
3800,TAMPERING WITH EVIDENCE,2016,10
3801,TAMPERING WITH GOV RECORD,2016,2
3802,TAMPERING WITH WITNESS,2016,1
3803,TELECOMMUNICATION CRIMES/OTHER,2016,1
3804,TERRORISTIC THREAT,2016,385
3805,TERRORISTIC THREAT-FAM/DAT VIO,2016,106
3806,THEFT,2016,4137
3807,THEFT BY CHECK,2016,14
3808,THEFT BY EMBEZZLEMENT,2016,8
3809,THEFT BY EXTORTION,2016,3
3810,THEFT BY FALSE PRETEXT/BUNCO,2016,6
3811,THEFT BY SHOPLIFTING,2016,593
3812,THEFT CATALYTIC CONVERTER,2016,1
3813,THEFT FROM AUTO,2016,298
3814,THEFT FROM BUILDING,2016,105
3815,THEFT FROM PERSON,2016,117
3816,THEFT OF AUTO PARTS,2016,139
3817,THEFT OF BICYCLE,2016,682
3818,THEFT OF HEAVY EQUIPMENT,2016,6
3819,THEFT OF LICENSE PLATE,2016,226
3820,THEFT OF METAL,2016,20
3821,THEFT OF SERVICE,2016,376
3822,THEFT OF TRAILER,2016,75
3823,THEFT- APPROPRIATE STOLEN PROP,2016,3
3824,THEFT/TILL TAPPING,2016,1
3825,TOBACCO VIOL - AGE 17,2016,1
3826,TOBACCO VIOL - UNDER AGE 17,2016,4
3827,TRADEMARK COUNTERFEITING,2016,5
3828,TRAFFICKING OF PERSONS,2016,1
3829,TRUANCY,2016,1
3830,UCW LICENSE PREMISE,2016,1
3831,UNLAWFUL CARRYING WEAPON,2016,83
3832,UNLAWFUL INTERCEPTION,2016,1
3833,UNLAWFUL RESTRAINT,2016,15
3834,UNLAWFUL RESTRAINT FAM/DAT VIO,2016,8
3835,URINATING IN PUBLIC PLACE,2016,38
3836,VIOL CITY ORDINANCE -  GAME RM,2016,2
3837,VIOL CITY ORDINANCE - AIRPORT,2016,1
3838,VIOL CITY ORDINANCE - CURFEW,2016,13
3839,VIOL CITY ORDINANCE - DOG,2016,113
3840,VIOL CITY ORDINANCE - OTHER,2016,193
3841,VIOL CITY ORDINANCE - SMOKING,2016,19
3842,VIOL CITY ORDINANCE - SOUND,2016,8
3843,VIOL CITY ORDINANCE - TAXI,2016,2
3844,VIOL CITY ORDINANCE - WRECKER,2016,28
3845,VIOL CITY ORDINANCE -FIREWORK,2016,2
3846,VIOL GLASS CONTAINER,2016,3
3847,VIOL OF BOND CONDITIONS,2016,3
3848,VIOL OF EMERG PROTECTIVE ORDER,2016,65
3849,VIOL OF PARK CURFEW,2016,26
3850,VIOL OF PROTECTIVE ORDER,2016,144
3851,VIOL STATE LAW - OTHER,2016,50
3852,VIOL STAY AWAY ORDER,2016,2
3853,VIOL TEMP EX PARTE  ORDER,2016,9
3854,VIOL WATER SAFETY ACT,2016,29
3855,VOCO - ALCOHOL  CONSUMPTION,2016,50
3856,VOCO AMPLIFIED MUSIC/VEHICLE,2016,4
3857,VOCO SOLICITATION PROHIBIT,2016,17
3858,WARRANT ARREST NON TRAFFIC,2016,889
3859,WEAPON VIOL - OTHER,2016,8
3860,AGG ASLT ENHANC STRANGL/SUFFOC,2017,30
3861,AGG ASLT STRANGLE/SUFFOCATE,2017,354
3862,AGG ASLT W/MOTOR VEH FAM/DAT V,2017,21
3863,AGG ASSAULT,2017,337
3864,AGG ASSAULT FAM/DATE VIOLENCE,2017,220
3865,AGG ASSAULT ON PUBLIC SERVANT,2017,5
3866,AGG ASSAULT WITH MOTOR VEH,2017,32
3867,AGG FORCED SODOMY OF CHILD,2017,1
3868,AGG KIDNAPPING,2017,3
3869,AGG KIDNAPPING FAM VIO,2017,1
3870,AGG PROMOTION OF PROSTITUTION,2017,1
3871,AGG RAPE,2017,17
3872,AGG RAPE OF A CHILD,2017,22
3873,AGG ROBBERY BY ASSAULT,2017,5
3874,AGG ROBBERY/DEADLY WEAPON,2017,198
3875,AGG SEXUAL ASSAULT CHILD/OBJEC,2017,27
3876,AGG SEXUAL ASSAULT W OBJECT,2017,4
3877,AIRPORT - BREACH OF SECURITY,2017,2
3878,AIRPORT - CRIMINAL TRESPASS,2017,1
3879,AIRPORT - FEDERAL VIOL,2017,6
3880,AIRPORT PLACES WEAPON PROHIBIT,2017,3
3881,APPLIC TO REVOKE PROBATION,2017,41
3882,ARSON,2017,32
3883,ARSON WITH BODILY INJURY,2017,1
3884,ASSAULT  CONTACT-SEXUAL NATURE,2017,143
3885,ASSAULT - SCHOOL PERSONNEL,2017,1
3886,ASSAULT BY CONTACT,2017,475
3887,ASSAULT BY CONTACT FAM/DATING,2017,440
3888,ASSAULT BY THREAT,2017,452
3889,ASSAULT BY THREAT FAM/DATING,2017,126
3890,ASSAULT ON PUBLIC SERVANT,2017,53
3891,ASSAULT W/INJURY-FAM/DATE VIOL,2017,1885
3892,ASSAULT WITH INJURY,2017,917
3893,AUTO THEFT,2017,968
3894,BESTIALITY,2017,1
3895,BOMB THREAT,2017,10
3896,BREACH OF COMPUTER SECURITY,2017,56
3897,BURG NON RESIDENCE SHEDS,2017,164
3898,BURG OF RES - FAM/DATING ASLT,2017,14
3899,BURG OF RES - SEXUAL NATURE,2017,9
3900,BURGLARY NON RESIDENCE,2017,779
3901,BURGLARY OF COIN-OP MACHINE,2017,25
3902,BURGLARY OF RESIDENCE,2017,1420
3903,BURGLARY OF VEHICLE,2017,4111
3904,CAMPING IN PARK,2017,37
3905,CHILD CUSTODY INTERFERE,2017,402
3906,CHILD ENDANGERMENT- ABANDONMEN,2017,94
3907,CIVIL DISTURBANCE/DEMO,2017,33
3908,CONT SEX ABUSE OF CHILD,2017,7
3909,CONTEMPT OF COURT,2017,2
3910,CONTROLLED SUB VIOL - OTHER,2017,2
3911,COUNTERFEITING,2017,31
3912,CRASH/FAIL STOP AND RENDER AID,2017,161
3913,CRASH/INTOX MANSLAUGHTER,2017,1
3914,CRASH/INTOXICATION ASSAULT,2017,7
3915,CRED CARD ABUSE - EXPIR-CANCEL,2017,2
3916,CRED CARD ABUSE - OTHER,2017,362
3917,CRED CARD ABUSE BY FORGERY,2017,61
3918,CRIM NEG HOMICIDE/NON TRAFFIC,2017,1
3919,CRIMES AGAINST ELDERLY,2017,1
3920,CRIMINAL CONSPIRACY,2017,1
3921,CRIMINAL MISCHIEF,2017,2479
3922,CRIMINAL MISCHIEF BY ARSON,2017,20
3923,CRIMINAL SOLICITATION,2017,2
3924,CRIMINAL SOLICITATION OF MINOR,2017,2
3925,CRIMINAL TRESPASS,2017,498
3926,CRIMINAL TRESPASS/HOTEL,2017,13
3927,CRIMINAL TRESPASS/IN VEHICLE,2017,9
3928,CRIMINAL TRESPASS/TRANSIENT,2017,47
3929,CRUELTY TO ANIMALS,2017,58
3930,CUSTODY ARREST TRAFFIC WARR,2017,489
3931,DAMAGE CITY PROP,2017,81
3932,DAMAGE CITY VEHICLE,2017,46
3933,DATING DISTURBANCE,2017,472
3934,DEADLY CONDUCT,2017,70
3935,DEADLY CONDUCT FAM/DATE VIOL,2017,1
3936,DEBIT CARD ABUSE,2017,576
3937,DEL CONTROLLED SUB/NARCOTIC,2017,96
3938,DEL CONTROLLED SUB/OTHER,2017,3
3939,DEL CONTROLLED SUB/SYN NARC,2017,10
3940,DEL MARIJUANA,2017,1
3941,DEL OF ALCOHOL TO MINOR,2017,1
3942,DEL OF DANG DRUG,2017,1
3943,DEL SYNTHETIC MARIJUANA,2017,9
3944,DEPENDENT AND NEGLECTED CHILD,2017,5
3945,DISCLOSE/PROMO INTIMATE VISUAL,2017,26
3946,DISTRIB HARMFUL MATERIAL MINOR,2017,8
3947,DISTURBANCE - OTHER,2017,1541
3948,DOC ABUSE OR THREAT,2017,6
3949,DOC ABUSIVE LANGUAGE,2017,8
3950,DOC CREATING NOXIOUS ODOR,2017,1
3951,DOC DISCHARGE GUN - PUB PLACE,2017,39
3952,DOC DISCHARGE GUN - PUB ROAD,2017,12
3953,DOC DISPLAY GUN/DEADLY PUB PLC,2017,31
3954,DOC EXPOSURE,2017,35
3955,DOC FIGHTING,2017,65
3956,DOC OFFENSIVE GESTURE,2017,10
3957,DOC UNREASONABLE NOISE,2017,17
3958,DOC WINDOW PEEPING-RESIDENCE,2017,21
3959,DRIVING WHILE INTOX / FELONY,2017,116
3960,DUI - AGE 16 AND UNDER,2017,2
3961,DUI - AGE 17 TO 20,2017,17
3962,DUMPING REFUSE NEAR HIGHWAY,2017,5
3963,DWI,2017,1190
3964,DWI  .15 BAC OR ABOVE,2017,164
3965,DWI - CHILD PASSENGER,2017,22
3966,DWI - DRUG RECOGNITION EXPERT,2017,53
3967,DWI 2ND,2017,198
3968,ENTICING A CHILD,2017,1
3969,ESCAPE FROM CUSTODY,2017,2
3970,EVADING / FOOT,2017,57
3971,EVADING / VEHICLE PURSUIT,2017,20
3972,EVADING VEHICLE,2017,80
3973,EXPLOITATION OF CHILD/ELDERLY,2017,1
3974,EXPLOSIVE ORDNANCE DISPOSAL,2017,20
3975,FAILURE TO IDENTIFY,2017,122
3976,FAILURE TO REG AS SEX OFFENDER,2017,28
3977,FALSE ALARM OR REPORT,2017,39
3978,FALSE REPORT TO CPS,2017,2
3979,FALSE REPORT TO PEACE OFFICER,2017,21
3980,FALSE STATEMENT -OBTAIN CREDIT,2017,4
3981,FAMILY DISTURBANCE,2017,6046
3982,FAMILY DISTURBANCE/PARENTAL,2017,396
3983,FEDERAL VIOL/OTHER,2017,17
3984,FELONY ENHANCEMENT/ASSLT W/INJ,2017,132
3985,FORCED SODOMY,2017,34
3986,FORGERY - OTHER,2017,45
3987,FORGERY AND PASSING,2017,216
3988,FORGERY BY ALTERATION,2017,15
3989,FORGERY BY MAKING,2017,22
3990,FORGERY OF IDENTIFICATION,2017,6
3991,FRAUD - OTHER,2017,630
3992,FRAUD DESTRUCTION OF A WRITING,2017,1
3993,FRAUD-CARD SKIMMER,2017,11
3994,GAMBLING,2017,8
3995,GAMBLING PROMOTION,2017,5
3996,GRAFFITI,2017,201
3997,HARASSMENT,2017,1429
3998,HARASSMENT OF A PUBLIC SERVANT,2017,14
3999,HARBORING RUNAWAY CHILD,2017,4
4000,HINDER SECURED CREDITORS,2017,5
4001,HINDERING APPREHENSION,2017,6
4002,IDENTITY THEFT,2017,664
4003,IDENTITY THEFT-TAX RETURNS,2017,21
4004,ILLEGAL LABELLING OF RECORDING,2017,2
4005,IMMIGRATION HOLD/ARREST,2017,1
4006,IMPERSONATING PUBLIC SERVANT,2017,10
4007,INCEST-PROHIBITED SEX CONDUCT,2017,1
4008,INDECENCY WITH A CHILD/CONTACT,2017,121
4009,INDECENCY WITH CHILD/EXPOSURE,2017,14
4010,INDECENT EXPOSURE,2017,97
4011,INHALANT ABUSE,2017,1
4012,INJ TO DISABLED  FAM/DATE VIOL,2017,5
4013,INJ TO ELDERLY   FAM/DATE VIOL,2017,18
4014,INJ/CHILD FV (NO CARE/CUSTODY),2017,5
4015,INJURY DISABLED INDIVIDUAL,2017,12
4016,INJURY TO CHILD,2017,105
4017,INJURY TO CHILD (CARE/CUSTODY),2017,18
4018,INJURY TO ELDERLY PERSON,2017,18
4019,INTER EMERG PHONECALL FAM/DATE,2017,24
4020,INTERFERE W PO SERVICE ANIMALS,2017,1
4021,INTERFERENCE PUBLIC DUTIES,2017,3
4022,INTERFERING W/EMERG PHONE CALL,2017,2
4023,INVASIVE VISUAL RECORDING,2017,29
4024,ISSUANCE OF BAD CHECK,2017,2
4025,KIDNAPPING,2017,15
4026,LIQUOR LAW VIOLATION/OTHER,2017,14
4027,LITTERING,2017,9
4028,MANF CONTROLLED SUB - OTHER,2017,1
4029,MANF CONTROLLED SUB- SYN NARC,2017,1
4030,MISAPPLY FIDUCIARY PROP,2017,2
4031,MISREP AGE BY MINOR,2017,6
4032,MONEY LAUNDERING,2017,2
4033,MURDER,2017,10
4034,NUISANCE ABATEMENT,2017,10
4035,OBSCENE DISPLAY - DISTRIBUTION,2017,3
4036,OBSCENITY,2017,1
4037,OBTAIN CONTROLLED SUB BY FRAUD,2017,9
4038,OFFICIAL OPPRESSION,2017,1
4039,ONLINE IMPERSONATION,2017,34
4040,ONLINE SOLICITATION OF A MINOR,2017,23
4041,PAROLE VIOL,2017,9
4042,PERJURY,2017,1
4043,PIGEON DROP,2017,2
4044,POCKET PICKING,2017,1
4045,POSS CONTROLLED SUB/NARCOTIC,2017,878
4046,POSS CONTROLLED SUB/OTHER,2017,68
4047,POSS CONTROLLED SUB/SYN NARC,2017,75
4048,POSS DANG DRUG,2017,33
4049,POSS OF ALCOHOL - AGE 17 TO 20,2017,7
4050,POSS OF ALCOHOL-AGE 16 & UNDER,2017,8
4051,POSS OF DRUG PARAPHERNALIA,2017,584
4052,POSS OF FIREARM BY FELON,2017,42
4053,POSS OF PRESCRIPTION FORM,2017,1
4054,POSS OF PROHIBITED WEAPON,2017,32
4055,POSS SYNTHETIC MARIJUANA,2017,103
4056,POSS/PROMO CHILD PORNOGRAPHY,2017,31
4057,POSSESSION OF MARIJUANA,2017,968
4058,PROBATION VIOL,2017,8
4059,PROMOTION OF PROSTITUTION,2017,3
4060,PROSTITUTION,2017,66
4061,PROTECTIVE ORDER,2017,308
4062,PROWLER,2017,2
4063,PUBLIC INTOXICATION,2017,697
4064,PUBLIC LEWDNESS,2017,6
4065,PURCHASING PROSTITUTION,2017,4
4066,PURSE SNATCHING,2017,1
4067,RAPE,2017,219
4068,RAPE OF A CHILD,2017,75
4069,RECKLESS CONDUCT,2017,1
4070,RECKLESS DAMAGE,2017,35
4071,RENTAL CAR/FAIL TO RETURN,2017,25
4072,RESISTING ARREST OR SEARCH,2017,39
4073,RETALIATION,2017,9
4074,ROBBERY BY ASSAULT,2017,107
4075,ROBBERY BY THREAT,2017,32
4076,RUNAWAY CHILD,2017,831
4077,SERIOUS INJURY TO A CHILD,2017,2
4078,SEXTING DEPICTING A MINOR,2017,18
4079,SEXUAL ASSAULT OF CHILD/OBJECT,2017,76
4080,SEXUAL ASSAULT W/ OBJECT,2017,72
4081,SIT AND LIE ORDINANCE VIOL,2017,1
4082,SOLICITATION - BEGGING,2017,20
4083,STALKING,2017,43
4084,STATUTORY RAPE OF CHILD,2017,2
4085,SUSPICIOUS PERSON,2017,390
4086,TAKE WEAPON FRM POLICE OFFICER,2017,3
4087,TAMPERING WITH EVIDENCE,2017,14
4088,TAMPERING WITH GOV RECORD,2017,3
4089,TELECOMMUNICATION CRIMES/OTHER,2017,1
4090,TERRORISTIC THREAT,2017,330
4091,TERRORISTIC THREAT-FAM/DAT VIO,2017,86
4092,THEFT,2017,3800
4093,THEFT BY CHECK,2017,8
4094,THEFT BY EMBEZZLEMENT,2017,1
4095,THEFT BY EXTORTION,2017,4
4096,THEFT BY FALSE PRETEXT/BUNCO,2017,5
4097,THEFT BY SHOPLIFTING,2017,446
4098,THEFT FROM AUTO,2017,181
4099,THEFT FROM BUILDING,2017,78
4100,THEFT FROM PERSON,2017,115
4101,THEFT OF AUTO PARTS,2017,105
4102,THEFT OF BICYCLE,2017,523
4103,THEFT OF HEAVY EQUIPMENT,2017,6
4104,THEFT OF LICENSE PLATE,2017,197
4105,THEFT OF METAL,2017,8
4106,THEFT OF SERVICE,2017,258
4107,THEFT OF TRAILER,2017,64
4108,THEFT- APPROPRIATE STOLEN PROP,2017,2
4109,THEFT/TILL TAPPING,2017,1
4110,TRADEMARK COUNTERFEITING,2017,3
4111,TRAFFICKING OF PERSONS,2017,3
4112,TRUANCY,2017,1
4113,UCW LICENSE PREMISE,2017,1
4114,UNLAWFUL CARRY-LIC HOLDER,2017,5
4115,UNLAWFUL CARRYING WEAPON,2017,111
4116,UNLAWFUL RESTRAINT,2017,5
4117,UNLAWFUL RESTRAINT FAM/DAT VIO,2017,12
4118,URINATING IN PUBLIC PLACE,2017,14
4119,VIOL CITY ORDINANCE -  GAME RM,2017,1
4120,VIOL CITY ORDINANCE - CURFEW,2017,10
4121,VIOL CITY ORDINANCE - DOG,2017,82
4122,VIOL CITY ORDINANCE - OTHER,2017,286
4123,VIOL CITY ORDINANCE - SMOKING,2017,9
4124,VIOL CITY ORDINANCE - SOUND,2017,1
4125,VIOL CITY ORDINANCE - TAXI,2017,1
4126,VIOL CITY ORDINANCE - WRECKER,2017,27
4127,VIOL CITY ORDINANCE -FIREWORK,2017,1
4128,VIOL GLASS CONTAINER,2017,2
4129,VIOL OF BOND CONDITIONS,2017,9
4130,VIOL OF EMERG PROTECTIVE ORDER,2017,82
4131,VIOL OF PARK CURFEW,2017,9
4132,VIOL OF PROTECTIVE ORDER,2017,194
4133,VIOL STATE LAW - OTHER,2017,49
4134,VIOL STAY AWAY ORDER,2017,4
4135,VIOL TEMP EX PARTE  ORDER,2017,17
4136,VOCO - ALCOHOL  CONSUMPTION,2017,11
4137,VOCO AMPLIFIED MUSIC/VEHICLE,2017,5
4138,VOCO SOLICITATION PROHIBIT,2017,7
4139,WARRANT ARREST NON TRAFFIC,2017,762
4140,WEAPON VIOL - OTHER,2017,6
4141,ABUSE OF 911,2018,5
4142,AGG ASLT ENHANC STRANGL/SUFFOC,2018,36
4143,AGG ASLT STRANGLE/SUFFOCATE,2018,380
4144,AGG ASLT W/MOTOR VEH FAM/DAT V,2018,13
4145,AGG ASSAULT,2018,294
4146,AGG ASSAULT FAM/DATE VIOLENCE,2018,205
4147,AGG ASSAULT ON PUBLIC SERVANT,2018,8
4148,AGG ASSAULT WITH MOTOR VEH,2018,18
4149,AGG FORCED SODOMY,2018,2
4150,AGG FORCED SODOMY OF CHILD,2018,4
4151,AGG KIDNAPPING,2018,1
4152,AGG PROMOTION OF PROSTITUTION,2018,2
4153,AGG RAPE,2018,10
4154,AGG RAPE OF A CHILD,2018,10
4155,AGG ROBBERY BY ASSAULT,2018,6
4156,AGG ROBBERY/DEADLY WEAPON,2018,220
4157,AGG SEXUAL ASSAULT CHILD/OBJEC,2018,35
4158,AGG SEXUAL ASSAULT W OBJECT,2018,3
4159,AIRPORT - CRIMINAL TRESPASS,2018,1
4160,AIRPORT - FEDERAL VIOL,2018,1
4161,AIRPORT PLACES WEAPON PROHIBIT,2018,3
4162,APPLIC TO REVOKE PROBATION,2018,5
4163,ARSON,2018,22
4164,ASSAULT  CONTACT-SEXUAL NATURE,2018,134
4165,ASSAULT - SCHOOL PERSONNEL,2018,1
4166,ASSAULT BY CONTACT,2018,505
4167,ASSAULT BY CONTACT FAM/DATING,2018,453
4168,ASSAULT BY THREAT,2018,401
4169,ASSAULT BY THREAT FAM/DATING,2018,130
4170,ASSAULT ON PUBLIC SERVANT,2018,36
4171,ASSAULT W/INJURY-FAM/DATE VIOL,2018,1854
4172,ASSAULT WITH INJURY,2018,890
4173,AUTO THEFT,2018,1123
4174,BAIL JUMPING/FAIL TO APPEAR,2018,1
4175,BOMB THREAT,2018,17
4176,BREACH OF COMPUTER SECURITY,2018,76
4177,BURG NON RESIDENCE SHEDS,2018,177
4178,BURG OF RES - FAM/DATING ASLT,2018,15
4179,BURG OF RES - SEXUAL NATURE,2018,8
4180,BURGLARY NON RESIDENCE,2018,844
4181,BURGLARY OF COIN-OP MACHINE,2018,16
4182,BURGLARY OF RESIDENCE,2018,1338
4183,BURGLARY OF VEHICLE,2018,4737
4184,CAMPING IN PARK,2018,4
4185,CHILD CUSTODY INTERFERE,2018,357
4186,CHILD ENDANGERMENT- ABANDONMEN,2018,40
4187,CIVIL DISTURBANCE/DEMO,2018,14
4188,CONT SEX ABUSE OF CHILD,2018,4
4189,CONTEMPT OF COURT,2018,4
4190,CONTROLLED SUB VIOL - OTHER,2018,1
4191,COUNTERFEITING,2018,24
4192,CRASH/FAIL STOP AND RENDER AID,2018,191
4193,CRASH/INTOX MANSLAUGHTER,2018,2
4194,CRASH/INTOXICATION ASSAULT,2018,8
4195,CRASH/NEGLIGENT HOMICIDE,2018,1
4196,CRED CARD ABUSE - EXPIR-CANCEL,2018,1
4197,CRED CARD ABUSE - OTHER,2018,350
4198,CRED CARD ABUSE BY FORGERY,2018,44
4199,CRIMES AGAINST ELDERLY,2018,1
4200,CRIMINAL MISCHIEF,2018,2189
4201,CRIMINAL MISCHIEF BY ARSON,2018,3
4202,CRIMINAL TRESPASS,2018,515
4203,CRIMINAL TRESPASS/HOTEL,2018,11
4204,CRIMINAL TRESPASS/IN VEHICLE,2018,7
4205,CRIMINAL TRESPASS/TRANSIENT,2018,35
4206,CRUELTY TO ANIMALS,2018,82
4207,CUSTODY ARREST TRAFFIC WARR,2018,220
4208,DAMAGE CITY PROP,2018,63
4209,DAMAGE CITY VEHICLE,2018,49
4210,DATING DISTURBANCE,2018,461
4211,DEADLY CONDUCT,2018,74
4212,DEADLY CONDUCT FAM/DATE VIOL,2018,2
4213,DEBIT CARD ABUSE,2018,387
4214,DEL CONTROLLED SUB/NARCOTIC,2018,98
4215,DEL CONTROLLED SUB/OTHER,2018,2
4216,DEL CONTROLLED SUB/SYN NARC,2018,10
4217,DEL MARIJUANA,2018,2
4218,DEL OF ALCOHOL TO MINOR,2018,1
4219,DEL SYNTHETIC MARIJUANA,2018,6
4220,DEPENDENT AND NEGLECTED CHILD,2018,9
4221,DISCLOSE/PROMO INTIMATE VISUAL,2018,31
4222,DISPOSAL OF SOLID WASTE,2018,3
4223,DISTRIB HARMFUL MATERIAL MINOR,2018,5
4224,DISTURBANCE - OTHER,2018,1429
4225,DOC ABUSE OR THREAT,2018,7
4226,DOC ABUSIVE LANGUAGE,2018,7
4227,DOC CREATING NOXIOUS ODOR,2018,3
4228,DOC DISCHARGE GUN - PUB PLACE,2018,28
4229,DOC DISCHARGE GUN - PUB ROAD,2018,23
4230,DOC DISPLAY GUN/DEADLY PUB PLC,2018,27
4231,DOC EXPOSURE,2018,29
4232,DOC FIGHTING,2018,61
4233,DOC OFFENSIVE GESTURE,2018,10
4234,DOC UNREASONABLE NOISE,2018,9
4235,DOC WINDOW PEEPING - HOTEL,2018,1
4236,DOC WINDOW PEEPING - PUB AREA,2018,1
4237,DOC WINDOW PEEPING-RESIDENCE,2018,34
4238,DRIVING WHILE INTOX / FELONY,2018,122
4239,DUI - AGE 16 AND UNDER,2018,1
4240,DUI - AGE 17 TO 20,2018,14
4241,DUMPING REFUSE NEAR HIGHWAY,2018,2
4242,DWI,2018,1046
4243,DWI  .15 BAC OR ABOVE,2018,184
4244,DWI - CHILD PASSENGER,2018,19
4245,DWI - DRUG RECOGNITION EXPERT,2018,54
4246,DWI 2ND,2018,178
4247,ENTICING A CHILD,2018,2
4248,ESCAPE FROM CUSTODY,2018,2
4249,EVADING / FOOT,2018,78
4250,EVADING / VEHICLE PURSUIT,2018,31
4251,EVADING VEHICLE,2018,79
4252,EXPLOITATION OF CHILD/ELDERLY,2018,3
4253,EXPLOSIVE ORDNANCE DISPOSAL,2018,39
4254,FAILURE TO IDENTIFY,2018,115
4255,FAILURE TO REG AS SEX OFFENDER,2018,23
4256,FALSE ALARM OR REPORT,2018,24
4257,FALSE REPORT TO CPS,2018,1
4258,FALSE REPORT TO PEACE OFFICER,2018,15
4259,FALSE STATEMENT -OBTAIN CREDIT,2018,2
4260,FAMILY DISTURBANCE,2018,5941
4261,FAMILY DISTURBANCE/PARENTAL,2018,321
4262,FEDERAL VIOL/OTHER,2018,8
4263,FELONY ENHANCEMENT/ASSLT W/INJ,2018,148
4264,FORCED SODOMY,2018,36
4265,FORGERY - OTHER,2018,26
4266,FORGERY AND PASSING,2018,224
4267,FORGERY BY ALTERATION,2018,10
4268,FORGERY BY MAKING,2018,11
4269,FORGERY OF IDENTIFICATION,2018,1
4270,FORGERY- CERTIFICATE OF TITLE,2018,5
4271,FRAUD - OTHER,2018,600
4272,FRAUD DESTRUCTION OF A WRITING,2018,1
4273,FRAUD FILING FINANCE STATEMENT,2018,1
4274,FRAUD-CARD SKIMMER,2018,27
4275,GAMBLING,2018,6
4276,GAMBLING PROMOTION,2018,3
4277,GRAFFITI,2018,123
4278,HARASSMENT,2018,1479
4279,HARASSMENT OF A PUBLIC SERVANT,2018,14
4280,HARBORING RUNAWAY CHILD,2018,3
4281,HINDER SECURED CREDITORS,2018,3
4282,HINDERING APPREHENSION,2018,4
4283,IDENTITY THEFT,2018,509
4284,IDENTITY THEFT-TAX RETURNS,2018,13
4285,ILLUMIN AIRCRAFT INTENSE LIGHT,2018,1
4286,IMPERSONATING PUBLIC SERVANT,2018,4
4287,INDECENCY WITH A CHILD/CONTACT,2018,74
4288,INDECENCY WITH CHILD/EXPOSURE,2018,15
4289,INDECENT EXPOSURE,2018,74
4290,INHALANT ABUSE,2018,5
4291,INJ TO DISABLED  FAM/DATE VIOL,2018,2
4292,INJ TO ELDERLY   FAM/DATE VIOL,2018,26
4293,INJ/CHILD FV (NO CARE/CUSTODY),2018,8
4294,INJURY DISABLED INDIVIDUAL,2018,18
4295,INJURY TO CHILD,2018,56
4296,INJURY TO CHILD (CARE/CUSTODY),2018,11
4297,INJURY TO ELDERLY PERSON,2018,22
4298,INTER EMERG PHONECALL FAM/DATE,2018,21
4299,INTERFERENCE PUBLIC DUTIES,2018,4
4300,INTERFERING W/EMERG PHONE CALL,2018,8
4301,INVASIVE VISUAL RECORDING,2018,34
4302,ISSUANCE OF BAD CHECK,2018,2
